Indicator
#1-2-1
#1-2-2
#17-19-2
#17-19-3
#17-8-1
#18-1-1
#18-1-2
#2-2-1
#2-2-2
#3-a-1
#4-1-1
#4-1-2
#4-3-3
#4-6-1
#4-c-1
#5-4-1
#8-3-1
#8-5-1
#8-5-2
#8-5-4
#8-6-1
#8-7-1
