Indicator,Disaggregation combinations using this value
#13-3-3,1
#17-19-2,4
#17-19-3,3
#17-7-1,3
#18-1-1,11
#18-2-2,1
#2-c-1,1
#3-3-1,1
#3-3-5,1
#3-9-2,1
#5-1-1,2
#8-7-2,1
#8-8-1,1
#8-9-3,1
#8-a-1,1
