Value,lo,en,Disaggregation combinations using this value,Number of indicators
Q1,Quintile 1 (ທຸກຍາກທີ່ສຸດ),Quintile 1 (poorest),13,9
Q2,Quintile 2,Quintile 2,13,9
Q3,Quintile 3,Quintile 3,13,9
Q4,Quintile 4,Quintile 4,13,9
Q5,Quintile 5 (ຮັ່ງມີທີ່ສຸດ),Quintile 5 (richest),13,9
