Indicator,Disaggregation combinations using this value
#1-2-1,1
#1-2-2,1
#2-2-1,2
#2-2-2,2
#3-1-2,1
#3-2-1,2
#3-2-2,1
#3-7-1,1
#3-c-1,1
#5-3-1,2
#5-b-1,1
#8-5-2,1
#8-7-1,1
