Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Businesses owned by females,,Percent,,10592
2016,Businesses owned by females,,Percent,,11586
2017,Businesses owned by females,,Percent,,11855
2018,Businesses owned by females,,Percent,,11572
2019,Businesses owned by females,,Percent,,15061
