Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,158.56,,ເປີເຊັນ,ສ່ວນແບ່ງດ້ານກະສິກໍາລາຍຈ່າຍຂອງລັດຖະບານ [2.a.1]
2016,188.77,,ເປີເຊັນ,ສ່ວນແບ່ງດ້ານກະສິກໍາລາຍຈ່າຍຂອງລັດຖະບານ [2.a.1]
2017,271.19,,ເປີເຊັນ,ສ່ວນແບ່ງດ້ານກະສິກໍາລາຍຈ່າຍຂອງລັດຖະບານ [2.a.1]
2018,244.43,,ເປີເຊັນ,ສ່ວນແບ່ງດ້ານກະສິກໍາລາຍຈ່າຍຂອງລັດຖະບານ [2.a.1]
2019,178.56,,ເປີເຊັນ,ສ່ວນແບ່ງດ້ານກະສິກໍາລາຍຈ່າຍຂອງລັດຖະບານ [2.a.1]
