Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,11.7,,ເປີເຊັນ,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]"
2016,11.0,,ເປີເຊັນ,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]"
2017,7.5,,ເປີເຊັນ,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]"
2018,18.0,,ເປີເຊັນ,"ການໄຫຼຂອງທາງການທັງຫມົດສໍາລັບທຶນການສຶກສາ, ໂດຍປະເທດທີ່ໄດ້ຮັບ [4.b.1]"
