Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,26,,ເລກທີ,ຫມາຍເຖິງຈໍານວນວັນເພື່ອຊໍາລະການນໍາເຂົ້າ
2016,9,,ເລກທີ,ຫມາຍເຖິງຈໍານວນວັນເພື່ອຊໍາລະການນໍາເຂົ້າ
2017,10,,ເລກທີ,ຫມາຍເຖິງຈໍານວນວັນເພື່ອຊໍາລະການນໍາເຂົ້າ
2018,10,,ເລກທີ,ຫມາຍເຖິງຈໍານວນວັນເພື່ອຊໍາລະການນໍາເຂົ້າ
2019,3,,ເລກທີ,ຫມາຍເຖິງຈໍານວນວັນເພື່ອຊໍາລະການນໍາເຂົ້າ
