Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Litres pure alcohol,,10.1
2018,Alcohol consumption per capita (aged 15 years and older) within a calendar year [3.5.2],,Litres pure alcohol,,10.7
