Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.7
2016,Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.4
2017,Annual growth rate of real GDP per capita [8.1.1],,Percent,,5.2
2018,Annual growth rate of real GDP per capita [8.1.1],,Percent,,4.6
