Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_STA_TRAFN,,PER_100000_POP,,14.2
2016,SH_STA_TRAFN,,PER_100000_POP,,15.5
2017,SH_STA_TRAFN,,PER_100000_POP,,15.0
2018,SH_STA_TRAFN,,PER_100000_POP,,14.1
