Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,,15.07
2016,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,,15.07
2017,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,,15.19
2018,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,,10.87
2019,Developing countries’ and least developed countries’ share of global merchandise exports [17.11.1],,Percent,,8.39
