Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_TRP_INTVN,,NUMBER,,2183066
2016,SH_TRP_INTVN,,NUMBER,,2206011
2017,SH_TRP_INTVN,,NUMBER,,1953002
2018,SH_TRP_INTVN,,NUMBER,,2031804
