Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170802_01,,PT,,30
2016,_L_LA_170802_01,,PT,,39
2017,_L_LA_170802_01,,PT,,42
2018,_L_LA_170802_01,,PT,,45
2019,_L_LA_170802_01,,PT,,50
