Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_040106_01,,ISCED11_10,PT,,16.7
2015,_L_LA_040106_01,,ISCED11_24,PT,,26.2
2016,_L_LA_040106_01,,ISCED11_10,PT,,14.2
2016,_L_LA_040106_01,,ISCED11_24,PT,,28.4
2017,_L_LA_040106_01,,ISCED11_10,PT,,12.7
2017,_L_LA_040106_01,,ISCED11_24,PT,,24.1
2018,_L_LA_040106_01,,ISCED11_10,PT,,10.6
2018,_L_LA_040106_01,,ISCED11_24,PT,,9.2
