Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170803_01,,PT,,21
2016,_L_LA_170803_01,,PT,,30
2017,_L_LA_170803_01,,PT,,37
2018,_L_LA_170803_01,,PT,,47
2019,_L_LA_170803_01,,PT,,50
