Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,DC_TOF_SCHIPSL,,PT,,11.7
2016,DC_TOF_SCHIPSL,,PT,,11.0
2017,DC_TOF_SCHIPSL,,PT,,7.5
2018,DC_TOF_SCHIPSL,,PT,,18.0
