Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080302_01,,PT,,30.9
2016,_L_LA_080302_01,,PT,,23.4
2017,_L_LA_080302_01,,PT,,22.3
2018,_L_LA_080302_01,,PT,,20.2
2019,_L_LA_080302_01,,PT,,18.1
