Year,SERIES,REF_AREA,SEX,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,SE_TOT_CPLR,,,ISCED11_10,PT,,105.4
2017,SE_TOT_CPLR,,,ISCED11_24,PT,,72.6
2017,SE_TOT_CPLR,,M,ISCED11_24,PT,,70.3
2017,SE_TOT_CPLR,,F,ISCED11_24,PT,,74.9
2017,SE_TOT_CPLR,,,ISCED11_34,PT,,45.2
2017,SE_TOT_CPLR,,M,ISCED11_34,PT,,47.4
2017,SE_TOT_CPLR,,F,ISCED11_34,PT,,42.9
