Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_171903_01,,,NUMBER,,14042
2015,_L_LA_171903_01,,M,NUMBER,,5637
2015,_L_LA_171903_01,,F,NUMBER,,8405
2016,_L_LA_171903_01,,,NUMBER,,17157
2016,_L_LA_171903_01,,M,NUMBER,,7339
2016,_L_LA_171903_01,,F,NUMBER,,9818
2017,_L_LA_171903_01,,,NUMBER,,15646
2017,_L_LA_171903_01,,M,NUMBER,,6719
2017,_L_LA_171903_01,,F,NUMBER,,8927
2018,_L_LA_171903_01,,,NUMBER,,19238
2018,_L_LA_171903_01,,M,NUMBER,,8173
2018,_L_LA_171903_01,,F,NUMBER,,11065
