Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_180201_01,,PT,,99.51
2016,_L_LA_180201_01,,PT,,99.46
2017,_L_LA_180201_01,,PT,,99.41
2018,_L_LA_180201_01,,PT,,99.33
2019,_L_LA_180201_01,,PT,,99.25
2020,_L_LA_180201_01,,PT,,99.19
