Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SN_ITK_DEFC,,PT,,16.8
2016,SN_ITK_DEFC,,PT,,16.7
2017,SN_ITK_DEFC,,PT,,16.5
2018,SN_ITK_DEFC,,PT,,16.5
