Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080504_01,,,PT,,18.5
2015,_L_LA_080504_01,,M,PT,,8.44
2015,_L_LA_080504_01,,F,PT,,10.06
2017,_L_LA_080504_01,,,PT,,82.66
2017,_L_LA_080504_01,,M,PT,,42.66
2017,_L_LA_080504_01,,F,PT,,40.0
