Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_080303_01,,PT,,2235
2016,_L_LA_080303_01,,PT,,2537
2017,_L_LA_080303_01,,PT,,2667
2018,_L_LA_080303_01,,PT,,2829
2019,_L_LA_080303_01,,PT,,3966
