Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,IT_USE_II99,,,PT,,28.1
2015,IT_USE_II99,,M,PT,,28.3
2015,IT_USE_II99,,F,PT,,27.9
2016,IT_USE_II99,,,PT,,19.0
2017,IT_USE_II99,,,PT,,26.0
2018,IT_USE_II99,,,PT,,37.0
2019,IT_USE_II99,,,PT,,49.0
