Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,NY_GDP_PCAP,,PT,,5.7
2016,NY_GDP_PCAP,,PT,,5.4
2017,NY_GDP_PCAP,,PT,,5.2
2018,NY_GDP_PCAP,,PT,,4.6
