Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,GeoCode,Value
2015,SL_TLF_NEET,,,PT,,18.5
2015,SL_TLF_NEET,,M,PT,,8.44
2015,SL_TLF_NEET,,F,PT,,10.06
2017,SL_TLF_NEET,,,PT,,16.11
2017,SL_TLF_NEET,,M,PT,,7.83
2017,SL_TLF_NEET,,F,PT,,8.28
