Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SL_EMP_INJUR,,NUMBER,,40
2016,SL_EMP_INJUR,,NUMBER,,53
2017,SL_EMP_INJUR,,NUMBER,,20
2018,SL_EMP_INJUR,,NUMBER,,39
2019,SL_EMP_INJUR,,NUMBER,,50
