Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,AG_XPD_AGSGB,,PT,,158.56
2016,AG_XPD_AGSGB,,PT,,188.77
2017,AG_XPD_AGSGB,,PT,,271.19
2018,AG_XPD_AGSGB,,PT,,244.43
2019,AG_XPD_AGSGB,,PT,,178.56
