Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_180202_01,,NUMBER,,3322
2016,_L_LA_180202_01,,NUMBER,,2843
2017,_L_LA_180202_01,,NUMBER,,2399
2018,_L_LA_180202_01,,NUMBER,,1983
2019,_L_LA_180202_01,,NUMBER,,1526
2020,_L_LA_180202_01,,NUMBER,,1091
