Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_HIV_INCD,,NUMBER,,550
2016,SH_HIV_INCD,,NUMBER,,870
2017,SH_HIV_INCD,,NUMBER,,830
2018,SH_HIV_INCD,,NUMBER,,810
2019,SH_HIV_INCD,,NUMBER,,780
2015,_L_LA_030301_01,,PT,,32
2016,_L_LA_030301_01,,PT,,39
2017,_L_LA_030301_01,,PT,,47
2018,_L_LA_030301_01,,PT,,50
2019,_L_LA_030301_01,,PT,,56
