Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Tourism direct GDP as a proportion of total GDP [8.9.1],,USD,,725
2016,Tourism direct GDP as a proportion of total GDP [8.9.1],,USD,,724
2017,Tourism direct GDP as a proportion of total GDP [8.9.1],,USD,,648
2018,Tourism direct GDP as a proportion of total GDP [8.9.1],,USD,,811
2019,Tourism direct GDP as a proportion of total GDP [8.9.1],,USD,,934
