Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,,2183066
2016,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,,2206011
2017,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,,1953002
2018,Number of people requiring interventions against neglected tropical diseases [3.3.5],,Number,,2031804
