Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_180302_01,,PT,,11.93
2016,_L_LA_180302_01,,PT,,15.46
2017,_L_LA_180302_01,,PT,,18.74
2018,_L_LA_180302_01,,PT,,19.61
2019,_L_LA_180302_01,,PT,,20.61
2020,_L_LA_180302_01,,PT,,20.91
