Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,SH_TBS_INCD,,PER_100000_POP,,182
2016,SH_TBS_INCD,,PER_100000_POP,,175
2017,SH_TBS_INCD,,PER_100000_POP,,168
2018,SH_TBS_INCD,,PER_100000_POP,,162
2019,SH_TBS_INCD,,PER_100000_POP,,155
