Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders),,Percent,,2235
2016,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders),,Percent,,2537
2017,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders),,Percent,,2667
2018,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders),,Percent,,2829
2019,Number of SMEs owned by Lao citizens (with Lao citizens as the majority shareholders),,Percent,,3966
