Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2016,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,160.6
2017,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,143.3
2018,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,149.4
2019,Proportion of domestic budget funded by domestic taxes [17.1.2],,Percent,,146.0
