Year,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,GeoCode,Value
2017,_L_LA_040304_01,,ISCED11_24,PT,,0.5
2017,_L_LA_040304_01,,ISCED11_34,PT,,6.5
