Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170601_01,,NUMBER,,36
2016,_L_LA_170601_01,,NUMBER,,15
2017,_L_LA_170601_01,,NUMBER,,32
2018,_L_LA_170601_01,,NUMBER,,48
2019,_L_LA_170601_01,,NUMBER,,18
2015,_L_LA_170603_01,,NUMBER,,63
2016,_L_LA_170603_01,,NUMBER,,46
2017,_L_LA_170603_01,,NUMBER,,16
2018,_L_LA_170603_01,,NUMBER,,18
2019,_L_LA_170603_01,,NUMBER,,18
2015,_L_LA_170603_02,,NUMBER,,28
2016,_L_LA_170603_02,,NUMBER,,22
2017,_L_LA_170603_02,,NUMBER,,23
2018,_L_LA_170603_02,,NUMBER,,18
2019,_L_LA_170603_02,,NUMBER,,24
