Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2017,Proportion of time spent on unpaid domestic chores and care work [5.4.1],,Male,Percent,,5.9
2017,Proportion of time spent on unpaid domestic chores and care work [5.4.1],,Female,Percent,,5.5
